CARRIER,FL_NUM,ORIGIN,DEST,CRS_DEP_TIME,CRS_ARR_TIME
AA,1655,SAT,CLT,828,1211
AA,1659,PHX,AUS,942,1258
AA,1660,LAX,PHL,1120,1929
AA,1663,CLT,PHL,1114,1253
AA,1663,PIT,CLT,835,1019
AA,1667,PBI,PHL,1405,1644
AA,1672,ATL,CLT,900,1012
AA,1672,CLT,PBI,1120,1315
AA,1673,BWI,CLT,1535,1707
AA,1673,CLT,IAH,1810,1958
AA,1674,LAS,MIA,2159,533
AA,1675,PHL,BOS,2245,2356
AA,1676,FLL,PHL,1712,1955
AA,1676,PHL,SEA,2050,2355
AA,1677,CLT,PIT,955,1126
AA,1677,MSP,CLT,510,854
AA,1678,ATL,LGA,1700,1912
AA,1678,LGA,ATL,1343,1620
AA,1679,DTW,MIA,525,841
AA,1680,PHL,PBI,1855,2146
AA,1684,DFW,MCO,1105,1440
AA,1684,PHL,DFW,704,955
AA,1688,DFW,MCO,1825,2157
AA,1688,SFO,DFW,1146,1717
AA,1689,PHL,RDU,1130,1256
AA,1689,RDU,PHL,1336,1500
AA,1690,ATL,CLT,1225,1338
AA,1690,CLT,STL,1437,1537
AA,1690,MIA,ATL,939,1137
AA,1691,DFW,ATL,2030,2331
AA,1691,SAN,DFW,1430,1927
AA,1692,CLT,BDL,2020,2215
AA,1692,SEA,CLT,1117,1920
AA,1693,DFW,LAS,1910,2006
AA,1695,PHL,PBI,2045,2333
AA,1696,CLT,DFW,1135,1336
AA,1696,PHL,CLT,820,1012
AA,1697,RSW,PHL,1200,1438
AA,1699,DEN,PHL,1115,1648
AA,1700,BUF,CLT,1139,1339
AA,1700,CLT,BDL,1430,1622
AA,1701,CLT,MIA,1820,2031
AA,1701,DTW,CLT,1530,1722
AA,1702,CLT,MIA,2001,2159
AA,1702,SFO,CLT,1112,1909
AA,1704,CLT,BDL,2210,2359
AA,1705,LAS,LAX,855,1018
AA,1707,STL,CLT,720,1016
AA,1708,CLT,FLL,945,1154
AA,1708,SEA,CLT,15,814
AA,1709,PHL,SFO,1805,2126
AA,1710,DCA,FLL,1359,1642
